ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000188290	HES4	1	934342	935552	-1	protein_coding	57801	HES4	0.00014794288110518	NA	0	0	11	3.46139e-05	0.0177772	GTEx/v8/Esophagus_Gastroesophageal_Junction	NA	No	NA	NA	rs12044597	1
ENSG00000131591	C1orf159	1	1017198	1051741	-1	protein_coding	54991	C1orf159	0.0908776364218918	0.39146339	0	0	1	0.000157316	1.12026e-15	GTEx/v8/Artery_Tibial	NA	No	NA	NA	rs12044597	1
ENSG00000175756	AURKAIP1	1	1309110	1310875	-1	protein_coding	54998	AURKAIP1	0.00247538764889321	-0.079992917	0	0	6	9.03388e-06	0.0217389	GTEx/v8/Colon_Transverse	+	No	NA	5e-10	rs4648592	1
ENSG00000197785	ATAD3A	1	1447531	1470067	1	protein_coding	55210	ATAD3A	0.0401305978810457	0.463338703	0	0	1	0.000113191	7.98373e-06	GTEx/v8/Skin_Sun_Exposed_Lower_leg	NA	No	NA	NA	rs4648592	1
ENSG00000160075	SSU72	1	1477053	1510249	-1	protein_coding	29101	SSU72	0.606848849205337	NA	0	0	59	2.3662e-05	2.06672e-10	GTEx/v8/Esophagus_Muscularis	-	No	NA	4e-18	rs12044597	1
ENSG00000189409	MMP23B	1	1567474	1570639	1	protein_coding	8510	MMP23B	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Spleen	NA	rs12044597	1
ENSG00000248333	CDK11B	1	1570603	1590473	-1	protein_coding	984	CDK11B	0.72829443952872	NA	0	0	26	5.76407e-07	2.34311e-22	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Tibial:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Liver:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Thyroid	NA	Yes	Spleen	NA	rs12044597	1
ENSG00000008128	CDK11A	1	1634169	1655766	-1	protein_coding	728642	CDK11A	5.23535259576534e-05	0.39509464	6	10.07	97	7.52639e-11	3.17167e-65	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Prostate:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Stomach:GTEx/v8/Thyroid	-	No	NA	1.7e-18	rs12044597	1
ENSG00000215790	SLC35E2	1	1656277	1677431	-1	protein_coding	9906	SLC35E2	0.374305907762633	NA	44	10.07	140	4.97872e-17	2.43549e-59	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellum:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pituitary:GTEx/v8/Prostate:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Thyroid	-	No	NA	1.7e-18	rs12044597;rs4648592	1
ENSG00000008130	NADK	1	1682671	1711896	-1	protein_coding	65220	NADK	0.00126768961404905	-0.378362489	56	13.17	189	1.99345e-13	1.88221e-11	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pituitary:GTEx/v8/Thyroid	-	Yes	Spleen:IMR90:Mesenchymal_Stem_Cell	1.7e-18	rs12044597;rs4648592;rs10907185;rs4648592:rs12044597:rs10907185	1
ENSG00000078369	GNB1	1	1716729	1822495	-1	protein_coding	2782	GNB1	0.995187833121982	-0.884419928	82	10.36	34	1.32184e-06	0.00423844	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Nerve_Tibial:GTEx/v8/Small_Intestine_Terminal_Ileum	+	Yes	Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell	1.7e-18	rs4648592;rs10907185;rs12044597;rs12044597:rs4648592:rs10907185:rs4648592	1
ENSG00000169885	CALML6	1	1846266	1848735	1	protein_coding	163688	CALML6	0.000127436926421093	0.34791584	36	15.46	201	3.53433e-38	1.17807e-31	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Liver:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Thyroid	-	No	NA	1.7e-18	rs12044597;rs4648592;rs10907185	1
ENSG00000178821	TMEM52	1	1849029	1850712	-1	protein_coding	339456	TMEM52	0.328693114330909	NA	36	15.46	201	1.16391e-47	1.68559e-40	GTEx/v8/Adrenal_Gland:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellum:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Liver:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Testis:GTEx/v8/Vagina	+	No	NA	1.7e-18	rs12044597;rs4648592;rs10907185	1
ENSG00000142609	C1orf222	1	1853396	1935276	-1	protein_coding	85452	C1orf222	NA	NA	85	24.1	201	4.97602e-17	8.78502e-19	GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Liver:GTEx/v8/Pituitary:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Testis	+	No	NA	1.7e-18	rs12044597;rs4648592;rs10907185	1
ENSG00000157916	RER1	1	2323267	2336883	1	protein_coding	11079	RER1	0.969239732851388	-0.558230626	0	0	37	1.8118e-05	2.63631e-10	GTEx/v8/Skin_Sun_Exposed_Lower_leg	+	No	NA	1.5e-11	rs4648592;rs10907185	1
ENSG00000149527	PLCH2	1	2357419	2436969	1	protein_coding	9651	PLCH2	1.70518647543863e-08	NA	9	19.59	0	NA	NA	NA	NA	No	NA	1.4e-16	rs3791180;rs7535528	2
ENSG00000157881	PANK4	1	2439972	2458039	-1	protein_coding	55229	PANK4	0.945333401831958	NA	10	19.59	0	NA	NA	NA	NA	No	NA	1.4e-16	rs3791180;rs7535528	2
ENSG00000197921	HES5	1	2460184	2461684	-1	protein_coding	388585	HES5	0.532717161921776	NA	9	7.834	0	NA	NA	NA	NA	No	NA	NA	rs3791180;rs2147905	2
ENSG00000157873	TNFRSF14	1	2487078	2496821	1	protein_coding	8764	TNFRSF14	0.819999054408814	-0.131268421	40	10.77	119	3.3634e-28	1.07923e-22	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Thyroid	+	No	NA	1.4e-16	rs2147905;rs4648360;rs729045;rs3791180;rs7535528	2
ENSG00000157870	FAM213B	1	2517930	2522908	1	protein_coding	127281	FAM213B	0.000166699570192146	-0.796176927	14	6.577	119	7.43152e-25	7.45061e-20	GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Lung:GTEx/v8/Nerve_Tibial:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Spleen:GTEx/v8/Thyroid	-	No	NA	1.4e-16	rs2147905;rs4648360;rs3791180;rs7535528;rs729045	2
ENSG00000142606	MMEL1	1	2522078	2564481	-1	protein_coding	79258	MMEL1	8.87673673427084e-13	0.424398875	18	8.116	119	1.93142e-37	2.24626e-59	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Liver:GTEx/v8/Lung:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Spleen:GTEx/v8/Thyroid	-	No	NA	1.4e-16	rs2147905;rs4648360;rs3791180;rs729045;rs7535528	2
ENSG00000215912	TTC34	1	2567415	2718286	-1	protein_coding	100287898	TTC34	NA	NA	66	16.08	119	5.28278e-14	1.33003e-13	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Colon_Sigmoid:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Thyroid	+	No	NA	1.4e-16	rs4648360;rs2147905;rs3791180;rs7535528;rs729045	2
ENSG00000130762	ARHGEF16	1	3370990	3397677	1	protein_coding	27237	ARHGEF16	9.36505312388017e-08	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90	NA	rs4648360	2
ENSG00000158286	RNF207	1	6265535	6281359	1	protein_coding	388591	RNF207	5.19011202351337e-06	-0.143922421	0	0	1	8.13844e-05	4.34801e-15	GTEx/v8/Artery_Tibial	NA	No	NA	NA	rs6577584	3
ENSG00000215788	TNFRSF25	1	6521211	6526255	-1	protein_coding	8718	TNFRSF25	0.448738853101197	NA	0	0	1	4.78734e-05	0.042102	GTEx/v8/Brain_Cortex	+	No	NA	5.2e-07	rs4908901	3
ENSG00000171680	PLEKHG5	1	6526152	6580121	-1	protein_coding	57449	PLEKHG5	4.02821229083025e-05	NA	9	12.05	12	3.09147e-09	1.4386e-30	GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9	+	No	NA	1.1e-08	rs4908901	3
ENSG00000162408	NOL9	1	6581407	6614595	-1	protein_coding	79707	NOL9	0.0044702400177699	2.923381574	4	6.342	11	2.83515e-08	1.04056e-37	GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg	+	No	NA	1.1e-08	rs4908901	3
ENSG00000173662	TAS1R1	1	6615241	6639817	1	protein_coding	80835	TAS1R1	7.9136002871651e-09	0.103537243	5	2.335	0	NA	NA	NA	NA	No	NA	1.5e-08	rs4908901;rs10779795	3
