ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000163531	NFASC	1	204797779	204991950	1	protein_coding	23114	NFASC	0.998762678321666	-0.694459333	0	0	0	NA	NA	NA	NA	Yes	IMR90	1.598e-13	rs679515	1
ENSG00000143486	EIF2D	1	206744620	206785904	-1	protein_coding	1939	EIF2D	6.59630829154375e-06	0.451545122	0	0	0	NA	NA	NA	NA	Yes	Liver:GM12878:Mesendoderm	1.598e-13	rs11118328:rs679515	1
ENSG00000143479	DYRK3	1	206808881	206857764	1	protein_coding	8444	DYRK3	0.000220921842662409	-0.114702048	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm:Trophoblast-like_Cell	8.246e-16	rs679515:rs11118328	1
ENSG00000162889	MAPKAPK2	1	206858289	206907628	1	protein_coding	9261	MAPKAPK2	0.996185444591235	-0.40462454	0	0	0	NA	NA	NA	NA	Yes	GM12878	1.598e-13	rs679515	1
ENSG00000136634	IL10	1	206940947	206945839	-1	protein_coding	3586	IL10	0.0291622262123568	-0.005322206	0	0	0	NA	NA	NA	NA	Yes	GM12878:Mesendoderm:Trophoblast-like_Cell:hESC	8.246e-16	rs679515:rs11118328	1
ENSG00000142224	IL19	1	206972215	207016324	1	protein_coding	29949	IL19	0.0203202325026012	0.229321849	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	8.246e-16	rs679515:rs11118328	1
ENSG00000162891	IL20	1	207038699	207042568	1	protein_coding	50604	IL20	0.00253917759019062	0.014865275	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	6.326e-12	rs11118328	1
ENSG00000162892	IL24	1	207070788	207077484	1	protein_coding	11009	IL24	0.00271588782691559	-0.15267576	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	6.326e-12	rs11118328	1
ENSG00000162894	FAIM3	1	207077731	207096592	-1	protein_coding	9214	FAIM3	0.000560563623745146	-0.493680311	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm	1.598e-13	rs679515	1
ENSG00000162896	PIGR	1	207101863	207119811	-1	protein_coding	5284	PIGR	0.650095686646365	0.058135146	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	1.598e-13	rs11118328:rs679515	1
ENSG00000162897	FCAMR	1	207131310	207143970	-1	protein_coding	83953	FCAMR	8.00343370771682e-06	-0.247046757	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	1.598e-13	rs11118328:rs679515	1
ENSG00000182795	C1orf116	1	207191866	207206101	-1	protein_coding	79098	C1orf116	0.371958031808421	-0.290447916	0	0	0	NA	NA	NA	NA	Yes	Hippocampus:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	1.555e-16	rs679515:rs11118328	1
ENSG00000180667	YOD1	1	207217194	207226325	-1	protein_coding	55432	YOD1	0.543401293595549	-0.12709038	0	0	0	NA	NA	NA	NA	Yes	Hippocampus:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	1.555e-16	rs679515:rs11118328	1
ENSG00000123836	PFKFB2	1	207222801	207254369	1	protein_coding	5208	PFKFB2	0.0010886274208406	-0.541608281	0	0	0	NA	NA	NA	NA	Yes	Hippocampus:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	1.555e-16	rs679515:rs11118328	1
ENSG00000123843	C4BPB	1	207262187	207273338	1	protein_coding	725	C4BPB	2.57853683497245e-06	-0.112843343	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	1.555e-16	rs679515:rs11118328	1
ENSG00000123838	C4BPA	1	207277607	207318317	1	protein_coding	722	C4BPA	0.0127393583379383	-0.196099813	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	1.555e-16	rs679515:rs11118328	1
ENSG00000196352	CD55	1	207494853	207534311	1	protein_coding	1604	CD55	2.49092265860477e-07	-0.685450581	0	0	12	1.06661e-06	6.18611e-17	GTEx/v8/Adrenal_Gland	-	Yes	Mesendoderm:hESC	1.555e-16	rs679515;rs679515:rs11118328	1
ENSG00000117322	CR2	1	207627575	207663240	1	protein_coding	1380	CR2	2.16539872051034e-11	-0.53372421	0	0	0	NA	NA	NA	NA	Yes	GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	8.246e-16	rs679515:rs11118328	1
ENSG00000203710	CR1	1	207669492	207813992	1	protein_coding	1378	CR1	9.34032929712518e-08	-0.190558521	24	6.379	22	6.99931e-14	7.66113e-10	GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Colon_Sigmoid:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Muscularis	+	Yes	Mesenchymal_Stem_Cell:Mesendoderm:hESC	1.555e-16	rs679515;rs11118328;rs11118328:rs679515	1
ENSG00000197721	CR1L	1	207818458	207911761	1	protein_coding	1379	CR1L	3.55709649735169e-15	0.116485807	2	8.867	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	1.598e-13	rs11118328;rs11118328:rs679515	1
